Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.692412487941 (0.0724879538917),0.689591492654 (0.00399386617099),0.848727947897 (0.00289635651044),0.623260960253 (0.0199631879543),0.0194598450862 (0.00202499601714),0.00349232286458 (0.000620269755444),0.383860328255 (0.00955373152821),0.00695123891963 (0.00122747169099),0.177063181337 (0.0101953161495),0.277591628411 (0.00225414507947),0.467062094867 (0.00461318347531),0.541258255641 (0.00593876763334),0.434604590725 (0.0108396644829),0.387579987086 (0.0057933043583),0.107319752375 (0.000300012582175),0.421366469011 (0.00752109110352),0.166690307507 (0.00149177126547),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360107773706 (0.00244984828353),0.103317589248 (0.00732661263434),0.829425872953 (0.00344733238873),0.00987283615212 (0.00104974200804),0.243681900101 (0.00192650669463),0.803118908382 (0.151470894192),0.93588 (0.000165730705262),0.409640859066 (0.00492411365943)
0.688576615647 (0.00566734537632),0.69187674427 (0.00481428682542),0.851198416935 (0.00307714896901),0.638057957056 (0.0252583036603),0.0250659278213 (0.00176951530757),0.00628344216195 (0.000235607644324),0.390209783744 (0.013612993205),0.0124552972866 (0.000473058222695),0.174568194099 (0.00583278114882),0.278314808163 (0.00215926570869),0.46625503302 (0.00637239474801),0.637454589208 (0.0020344932377),0.436440369985 (0.0149708782294),0.38131145383 (0.00343644155542),0.108150879542 (0.000346923547238),0.424787458991 (0.0102141359561),0.167213835069 (0.00158877917224),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.358191200404 (0.00307996481557),0.101149851278 (0.00377657461461),0.829441349696 (0.00085189284705),0.012766768789 (0.000920410046461),0.241650140003 (0.00236155251732),0.703571428571 (0.0656599153959),0.936066666667 (0.000417718671942),0.406926155653 (0.00770531416272)
0.720126151977 (0.0782907796514),0.694276818044 (0.00521340780336),0.854643495835 (0.00205568388204),0.659914115941 (0.0225565565097),0.0157807753662 (0.000510331317759),0.00319316251724 (0.00029870810868),0.394375219635 (0.0104267365988),0.00635953663114 (0.000593342266367),0.167822966609 (0.00451182523384),0.278889218461 (0.00347585629207),0.470060451676 (0.00365897480953),0.959954102834 (0.0049341647614),0.442903020667 (0.00897888094306),0.385100839478 (0.00208502498056),0.112512111664 (0.000540708212462),0.428849706479 (0.00712085544846),0.167281841043 (0.00249021399467),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.361739895983 (0.00257751788214),0.096137222308 (0.0024985386986),0.838112433829 (0.00188611507792),0.00797838958693 (0.000252405074192),0.244590279714 (0.00178011252212),0.761172161172 (0.0354536370185),0.93624 (0.000133666251038),0.411922959802 (0.00306411917162)
0.682355584634 (0.0610058008219),0.693474866828 (0.00461781705913),0.853905829846 (0.00238600033492),0.643959594111 (0.00823507470657),0.0186897385533 (0.00073036626819),0.00518611431477 (0.000122194074866),0.398282995002 (0.0119808310347),0.0102953410555 (0.000249178136522),0.164583147874 (0.00220826280867),0.279321965832 (0.0028310633564),0.468764149079 (0.00339618931725),1.12925696373 (0.0444958434893),0.440781557629 (0.015491817883),0.376214078345 (0.00208866711211),0.113675832748 (0.00119270747555),0.430603068591 (0.00841617868961),0.16745349795 (0.0020905460179),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.359312925383 (0.00721921649247),0.0943488802807 (0.00129348396044),0.841624049026 (0.00276421428852),0.00947537917141 (0.000369507805099),0.242498992371 (0.00611948548859),0.700552533886 (0.0837619500102),0.93598 (0.000256645020732),0.405858558368 (0.00771646632161)
0.660890514339 (0.0716699624389),0.698551478214 (0.00653595003745),0.856850926661 (0.00289836782346),0.667682078637 (0.0148504747976),0.0128393969883 (0.00200174494244),0.00299643018453 (0.000863886126015),0.401079720978 (0.0090364001154),0.00596776185025 (0.0017133396026),0.158714388063 (0.00314789340362),0.279794866693 (0.00405236288074),0.472015690864 (0.0114534313109),1.8109506766 (0.0105954038002),0.451547046067 (0.00939270484036),0.386869080863 (0.00503167121989),0.22320040067 (0.00152423927425),0.433664300598 (0.0100872267356),0.167754209604 (0.00295762409978),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.36264222321 (0.003737536818),0.0900724644258 (0.00202493793038),0.842724421812 (0.00304191721802),0.00648314990113 (0.00101441489207),0.244885648813 (0.00261505299036),0.76835016835 (0.0304299623642),0.93618 (0.00027276363394),0.416706821956 (0.0069077995732)
0.703179418043 (0.0621669466098),0.698948549869 (0.00668990310407),0.856338319884 (0.0027364131182),0.65188755393 (0.0230237462777),0.0181091807609 (0.00138867362282),0.00508858833126 (0.000507864754348),0.399697345557 (0.0121900525516),0.0101073033022 (0.00100557690777),0.161007661578 (0.00211347395419),0.278646623678 (0.00314324153986),0.470238555133 (0.00759808744459),2.10977005959 (0.00546630537754),0.45044180202 (0.0130415433564),0.382990930298 (0.00407938564208),0.226900339127 (0.000762898200628),0.432082426932 (0.0102389938022),0.166975627264 (0.00237185183964),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360549732096 (0.00373187637002),0.0918565360058 (0.00107204607086),0.841511083959 (0.00351931323451),0.00917285809268 (0.00070279515491),0.242935470587 (0.0026988929166),0.740565907522 (0.0656912497644),0.936013333333 (0.00011115554667),0.413910159051 (0.00662558392817)
0.684567060054 (0.0512044518048),0.667743055618 (0.00425082061938),0.811215640458 (0.00178585596795),0.535997007396 (0.00690476203468),0.0393243178202 (0.00143357005073),0.00429210119713 (0.000637724553897),0.302496388241 (0.00630179102245),0.00853336518393 (0.00125820126708),0.224860836574 (0.00929548345854),0.285004767662 (0.00167003708631),0.523697890372 (0.00801552000202),0.649216969808 (0.00787819724343),0.372112651956 (0.00730599742496),0.40652818722 (0.00331634437397),0.107537508011 (0.00040036894966),0.3834763995 (0.00704027446065),0.175802942515 (0.00128110369197),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.332067395779 (0.00357792149524),0.142362965416 (0.00740347754144),0.752344218485 (0.000216855787334),0.0202513313865 (0.000807165462611),0.220982164283 (0.00270630832132),0.748391812865 (0.0383035355524),0.934433333333 (0.000528225541054),0.388532201241 (0.00491584931704)
0.532614506586 (0.00513857979648),0.653650015782 (0.00984318598164),0.805745592568 (0.00368117107847),0.488812843865 (0.00920818719766),0.0508989336701 (0.00218779638884),0.00847557730775 (0.000466516234477),0.294477598505 (0.0070303473709),0.016678488469 (0.000921290936166),0.234176097017 (0.00522702043306),0.289508559843 (0.00501908954484),0.518702974775 (0.00992431342132),0.749248981476 (0.00772787864236),0.354172170546 (0.00987082245908),0.406910723722 (0.00689651209921),0.107837835948 (0.000114103045879),0.375666689415 (0.00814677755666),0.180115497683 (0.00326051071341),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.331314404128 (0.00561810178006),0.153997182425 (0.0041531702911),0.737328978852 (0.0105167285929),0.0267280756168 (0.0011943869861),0.221894623668 (0.00396344280631),0.520414066443 (0.0481318285993),0.932806666667 (8.99382504216e-05),0.37870220754 (0.00860103728987)
0.608447606282 (0.0414173251898),0.694872751469 (0.0051089302184),0.828280094476 (0.00202347488061),0.548141071636 (0.00258358657037),0.0219251109584 (0.00361242464354),0.00379536833422 (0.0011756355565),0.325776001128 (0.0020453615574),0.00754825667099 (0.00232637503698),0.228245356181 (0.00480918213325),0.276725125105 (0.00280998339539),0.513633925035 (0.00610516986361),1.07330028216 (0.0109078809827),0.378059183749 (0.00345762603372),0.425296496339 (0.00242341262888),0.21195546786 (0.000729197064804),0.398676137326 (0.00308173010196),0.167645004041 (0.00207321488003),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.331776193902 (0.0047027630456),0.144143916737 (0.00367032145432),0.792246040015 (0.00150596218208),0.0111659489562 (0.00186040415264),0.217914355614 (0.00355959003428),0.72619047619 (0.0607026132571),0.934933333333 (0.000290440278811),0.400287564148 (0.00299078852678)
0.520901320901 (0.0041056238737),0.679598969972 (0.00663898411063),0.819034547478 (0.00159142889511),0.498346534211 (0.0135184712116),0.04045260823 (0.00179805560544),0.00837805132424 (0.000233914705944),0.31259363084 (0.00371089877826),0.0164950729774 (0.000477150123269),0.249189024316 (0.00315904521482),0.278784044456 (0.000707937122509),0.505477185732 (0.00175336084302),1.41835570335 (0.0335754922805),0.360876192749 (0.00700201924559),0.424481348456 (0.00292555378767),0.214699029922 (0.000769449291567),0.386288281833 (0.00323807714356),0.170434913925 (0.000200291446962),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.330253314501 (0.00472831373658),0.166166609768 (0.00230012715426),0.765341193641 (0.00670491249189),0.0210447735812 (0.000969423953894),0.218131252015 (0.00354208231332),0.532884253223 (0.0542346308661),0.933593333333 (0.000205480466766),0.390080746084 (0.00503854051512)
0.630814726209 (0.0411794295788),0.687507458203 (0.00199376673459),0.83628006033 (0.00303926248259),0.561596918533 (0.00279380236028),0.0184741784633 (0.00224906923349),0.00309486588388 (0.000998252959975),0.340118798192 (0.00433706313291),0.00615670064505 (0.00198045962451),0.220712329421 (0.00180181238779),0.271082635951 (0.00269481516307),0.509545909217 (0.00576940889199),2.06643184026 (0.0565822796451),0.381985292253 (0.00602913311157),0.431750726571 (0.00543146251735),0.324871778488 (0.000714258797247),0.407936235683 (0.00481760598915),0.162727542524 (0.00192774405763),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.343321310296 (0.00399504058527),0.137349736736 (0.00144686215939),0.811395596381 (0.00195789307715),0.00937585703027 (0.00115316617994),0.228792736692 (0.00332991934547),0.608133971292 (0.0663825665895),0.935253333333 (0.000340326640483),0.405329931259 (0.00524138277753)
0.530877036108 (0.012014545251),0.669920977188 (0.00739575080315),0.826892404847 (0.00284368186533),0.508641923573 (0.00577639545797),0.0367755155596 (0.00129947902071),0.00777966109657 (0.000876899427562),0.323955186545 (0.00614994257263),0.0153304426478 (0.0017436691048),0.236159686917 (0.0045382157169),0.27470972517 (0.00397167340483),0.50046728591 (0.00614182134961),2.64969801903 (0.03688140346),0.360972092493 (0.00333585439616),0.428878644475 (0.0018362434831),0.325572331746 (0.00219124783861),0.393304852503 (0.00622868927261),0.166362888999 (0.00278464642877),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.338889320535 (0.00596594426408),0.153810778545 (0.00389276141957),0.787855850783 (0.00379330269389),0.0190489854432 (0.000701683593317),0.226824974382 (0.00469283073476),0.523830631543 (0.0934025070708),0.933753333333 (0.000131993265821),0.391995103197 (0.00200082257281)
0.685185185185 (0.223760110622),0.698158436533 (0.00536728099739),0.849936864852 (0.0021068447976),0.703813542295 (0.0647661006465),0.00496968942134 (0.000764152902062),0.000899300473691 (0.000425472926299),0.449177042102 (0.00962031468621),0.00179542522978 (0.000848822521654),0.0308086772796 (0.0035445586404),0.254280600139 (0.0013604638831),0.376030617999 (0.00183372312357),0.455363829931 (0.0220158354783),0.535065230797 (0.0147109774351),0.239025047485 (0.0104964961055),0.10811773936 (0.000175325738448),0.409292129538 (0.00287173617897),0.148958083742 (0.000863201679595),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.342378487492 (0.00629652648337),0.015749718388 (0.00182166391102),0.868049844036 (0.00371283044658),0.00249549640738 (0.000386751351933),0.226841669645 (0.00557083167049),0.746031746032 (0.183743442901),0.933773333333 (0.000146363322667),0.33036363744 (0.0121814765601)
0.346153846154 (0.245270852176),0.702655854404 (0.0102656641879),0.848531146464 (0.00307775039035),0.702614155251 (0.0975965324203),nan (nan),0.00040172742794 (0.00056812837697),0.459129241466 (0.0110065992295),nan (nan),0.02889949122 (0.00296398598695),0.250283506468 (0.00219870896539),0.351960115026 (0.0105167592396),0.432582378387 (0.00048545164826),0.545609679086 (0.0201330153234),0.218449163788 (0.00948485952431),0.109101057053 (0.000871874305496),0.398391656519 (0.00946107664513),0.146089405061 (0.00172949352012),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.343083849532 (0.00849572078137),0.0147548185554 (0.00150928326152),0.873092178863 (0.00881320253097),0.00150059657483 (0.00106904104918),0.227056912628 (0.00798849844316),0.190476190476 (0.269374011881),0.93372 (9.79795897113e-05),0.311609071644 (0.0071585398454)
0.754166666667 (0.182669251807),0.702034735793 (0.00832936199503),0.851867282938 (0.00304050433707),0.694277944278 (0.0666915903668),0.00437758465576 (0.000762221337081),0.000500478919227 (0.00037533975719),0.465673539118 (0.00516802256938),nan (nan),0.0252593076431 (0.000947161298049),0.246722575176 (0.00271007559078),0.361922347678 (0.00750366393008),0.754515171051 (0.00162255581397),0.555436228177 (0.0125111894734),0.217050288324 (0.00284930547201),0.113737344742 (0.000543881641569),0.407278597672 (0.00653520811871),0.143521470888 (0.00185406481521),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.345285283885 (0.00535490314981),0.0128676555039 (0.000511053570218),0.878391156839 (0.00540010812771),0.00219626652706 (0.000385216575704),0.228953582518 (0.00407084608351),0.388888888889 (0.283278861866),0.933626666667 (0.000279205221218),0.312065791188 (0.00247955568859)
0.735294117647 (0.0711488269839),0.705058929671 (0.00154916343085),0.850480554197 (0.00206016748155),0.715370169736 (0.0777442651575),0.00537132330145 (0.00177187942314),0.000998121497967 (0.000146420930661),0.469456662384 (0.00829128853716),0.00199313096673 (0.000291455297579),0.025657694865 (0.00114113117263),0.251587508883 (0.00179764048412),0.355999373126 (0.00510990538047),0.785109758377 (0.0468802549659),0.555476153237 (0.0192479065434),0.220598781734 (0.0187754652181),0.114333868027 (0.000149392023883),0.404829621797 (0.000656532991834),0.146926846634 (0.0012015067821),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.339809147109 (0.0081826785653),0.0130685192179 (0.000614200244778),0.874620052401 (0.00254221003943),0.00269713077121 (0.000892508577584),0.223897420155 (0.00705168607811),0.690476190476 (0.0841793787127),0.933666666667 (0.000240739601137),0.314866591164 (0.0167797725364)
0.785714285714 (0.154303349962),0.710745838697 (0.00161591383235),0.853451803021 (0.00157887876265),0.70517829963 (0.0778022795102),0.00477430606453 (0.00129421823981),0.000601365634132 (0.00065144218129),0.464080423822 (0.0134217158005),nan (nan),0.0277592748095 (0.00149297851803),0.253540808745 (0.00252543221739),0.37780348907 (0.00841157306563),1.29313151042 (0.00127653965596),0.544880388306 (0.0117610033563),0.245489842678 (0.00945780759688),0.160225073497 (0.0472759041797),0.416338704896 (0.00585127658784),0.148306814915 (0.00177474416623),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.341264873632 (0.00526547340023),0.0141633265165 (0.00078310917911),0.873149847262 (0.00501984804708),0.00239583520026 (0.000651690270505),0.224561340702 (0.00457502807255),0.541666666667 (0.412478955692),0.933693333333 (0.000199555060628),0.338220911898 (0.00690425165927)
0.703535353535 (0.116881825301),0.708230632759 (0.00740521468327),0.853417604883 (0.00211294617545),0.698552020659 (0.0957155499571),0.00477480842756 (0.00147702424567),0.000701797491117 (0.000791425444093),0.465893392125 (0.0139787674716),nan (nan),0.0275574584127 (0.00255042053304),0.250616422756 (0.00342555100553),0.369240253587 (0.000179833523233),1.49082970619 (0.00139302376649),0.55138651475 (0.0125895067549),0.233790812823 (0.00330275508564),0.19432425499 (0.0475963515899),0.411883892769 (0.005441139065),0.146142450799 (0.00235581886857),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.34541301377 (0.00607776952314),0.0140568366536 (0.00129074710338),0.879207744615 (0.00164958442056),0.00239751556596 (0.000745543027585),0.22842586103 (0.00495844619612),0.515151515152 (0.408810229189),0.933686666667 (0.000138884444373),0.328274972802 (0.00215713318992)
0.667317284754 (0.0423163035359),0.690678182043 (0.0068551575258),0.849043988403 (0.00165317295594),0.618040217473 (0.014725775586),0.0221562821727 (0.00204567632194),0.00379781934978 (0.0015755047364),0.380145413189 (0.0121762984242),0.00755178701545 (0.00311830666982),0.189071335469 (0.0027619794426),0.279438396465 (0.00286827314495),0.476846754239 (0.0033180379089),0.572377920151 (0.0481095933701),0.426548819055 (0.0114441695644),0.395368012351 (0.00117782954315),0.107690254847 (0.00049430315868),0.42294200983 (0.00793060691029),0.168221559622 (0.00211937978073),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.359036785365 (0.00410699998918),0.111609207905 (0.00144551851495),0.824759776149 (0.00158645610637),0.0112654015643 (0.00104584622404),0.242586963069 (0.00370893301047),0.728205128205 (0.0507666407006),0.936013333333 (0.000416439938313),0.410308489624 (0.00587300512887)
0.695147214746 (0.0679175614923),0.687078421939 (0.00687729622051),0.849894134877 (0.00317236424844),0.608403152504 (0.0136330191041),0.0262158992689 (0.00235800213121),0.0052890667203 (0.000876752401061),0.380562265799 (0.00830265606613),0.0104978570244 (0.00172986645342),0.189278058208 (0.00456968487841),0.281545318727 (0.00279235684915),0.480022481516 (0.00690207148435),0.739202896754 (0.00141231805482),0.425451138832 (0.00929275902689),0.398872312162 (0.00330673017482),0.107933600744 (0.000469896037108),0.42449024592 (0.00637441975818),0.169684616326 (0.0018965710655),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.357023598132 (0.00520719484382),0.112112876616 (0.00347257221502),0.826237435741 (0.00355233803004),0.0133603265186 (0.00120249123095),0.241173580454 (0.00390405249747),0.706324110672 (0.0598715298141),0.935826666667 (0.000122565175406),0.411640207109 (0.00254400196253)
0.710582010582 (0.079537731077),0.69825298711 (0.00675285338134),0.854991681792 (0.00306152075349),0.634077847174 (0.0298570678092),0.0181094525311 (0.00257922677511),0.00379008097818 (0.00101445231957),0.386042310215 (0.0112103699426),0.00754061211033 (0.00201290587411),0.179289787258 (0.00721618482104),0.282567617657 (0.00437196756069),0.483208569118 (0.00689157389017),1.06212298075 (0.00647062815563),0.433201735792 (0.00877158120556),0.402636379345 (0.00462778169115),0.112418889999 (0.00111018219743),0.429156257519 (0.00926026571221),0.16995581349 (0.00326884081766),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.361594348756 (0.00465012840299),0.104417255131 (0.00420821014886),0.837819963071 (0.00293208721186),0.00917170211789 (0.00130992728918),0.243999147491 (0.00436281473757),0.748538011696 (0.0720984093915),0.936106666667 (0.000367453700787),0.417323484673 (0.00553130353196)
0.677843915344 (0.0318452209256),0.6957625318 (0.00580358406775),0.853928108838 (0.00210014014557),0.62680013501 (0.0196614632321),0.0206302946946 (0.00215466041958),0.00538659270381 (0.000429590318762),0.38877448261 (0.0104423053361),0.0106929635135 (0.000850287200072),0.182364198226 (0.00456254931118),0.281182993413 (0.00345448329404),0.480736389232 (0.00352069486498),1.2950498263 (0.0520798047639),0.435105127579 (0.00808081835033),0.397369858495 (0.000680068110605),0.113923629125 (0.00095104658849),0.429848301952 (0.00769331100917),0.169000655182 (0.00252396706703),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360622860578 (0.00294941905879),0.106722077211 (0.00286962363872),0.836528177181 (0.00101450315384),0.0104784027005 (0.00112098853256),0.243386946759 (0.00199254215763),0.720679012346 (0.052423727628),0.936046666667 (0.000183545331972),0.415339867879 (0.00331894397374)
0.717933006536 (0.0475482124339),0.701149547489 (0.00730328019494),0.856316510427 (0.00230207496952),0.642555035828 (0.0191161493552),0.0136336456845 (0.00127672787013),0.00309686204151 (0.00100591705542),0.390332728681 (0.00998746186058),0.00616532019313 (0.00199172892322),0.175468088321 (0.00420928449218),0.28146203843 (0.00386000559028),0.485792558097 (0.00873144717266),2.00498104095 (0.00758859406913),0.437518796726 (0.0127560935197),0.403226924008 (0.00484502725963),0.225072224935 (0.00101103797259),0.432839051695 (0.00919769614677),0.169242040629 (0.00286826599854),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.362671364503 (0.00411139812912),0.101650191131 (0.0031479251672),0.835636615079 (0.00209238703134),0.00688235678052 (0.000646916564521),0.2446056701 (0.00331415518429),0.776815776816 (0.0794248175484),0.93616 (0.000188325958558),0.419624047055 (0.0079663211976)
0.658194759385 (0.0855201639229),0.696562625924 (0.00552904976239),0.855586275983 (0.002005174836),0.637322251384 (0.0150265325924),0.0194479593436 (0.00201934972844),0.00518534366491 (0.000602100483632),0.389044284958 (0.0095492851553),0.0102919590672 (0.00119816713231),0.182670949006 (0.000896842173105),0.282760454183 (0.00465078496964),0.483117834131 (0.00529548251136),2.47618452708 (0.0409301999077),0.43547000132 (0.0105845723905),0.40044241898 (0.00431705635726),0.224286079407 (0.00242425700257),0.430985260423 (0.00787320223668),0.170076225963 (0.00338568551065),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.360521578909 (0.00322958565042),0.106621752547 (0.000201276686185),0.838228165703 (0.00149216686456),0.00987013887761 (0.00102186811708),0.243199878543 (0.00242378681753),0.679962013295 (0.11056390771),0.936233333333 (0.000122565175406),0.417200912353 (0.00712589690068)
0.614689265537 (0.0207737585433),0.662048724012 (0.00612290334161),0.809715305529 (0.00398714320505),0.525152500291 (0.00591322352408),0.0401272872851 (0.00253180889334),0.00459017510266 (0.000760130556602),0.301374845111 (0.00560021986689),0.00911511690915 (0.00150026909798),0.23704122657 (0.00469145672659),0.285082718364 (0.00472748191495),0.527779570052 (0.00939328858636),0.647742827733 (0.00380276240689),0.370323141291 (0.00750607362008),0.416403961119 (0.00315964861758),0.107371807098 (0.000484859260143),0.383659661792 (0.00682557741279),0.176111785738 (0.00324967953803),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.331854791457 (0.0062492932159),0.153117243816 (0.00432071066269),0.74783878411 (0.00673192503897),0.0207412355937 (0.0013295493218),0.221432894824 (0.00493573712617),0.660864805692 (0.0719435891114),0.93414 (0.000155777619274),0.391997967004 (0.0055783235622)
